20
KH001#Nguyen Phuoc An#01/01/2001#0397858621#07920324473
KH002#Tran Ngoc Dang Khoa#15/05/1995#0376543210#08912345678
KH003#Le Van Cuong#22/09/1985#0987654321#07798765432
KH004#Duong Trieu Minh#10/03/2000#0359876543#09712398765
KH005#Hoang Van Nam#05/12/1975#0912345678#08765432109
KH006#Pham Van Hieu#23/04/1990#0982345678#0978321456
KH007#Nguyen Thi Hoa#12/07/1987#0912456789#0891234567
KH008#Tran Van Long#30/11/1994#0909123456#0934567890
KH009#Le Thi Minh#19/03/1982#0987564321#0876543210
KH010#Doan Van Tai#08/09/2000#0932123456#0909876543
KH011#Bui Thi Lan#27/05/1993#0911987654#0867543212
KH012#Nguyen Van Tu#14/06/1997#0923456789#0931123456
KH013#Hoang Thi Mai#06/12/1980#0978123456#0887654321
KH014#Pham Quoc Dung#01/02/1985#0943215678#0876543213
KH015#Dang Thi Nhung#17/08/1992#0913456789#0898765432
KH016#Tran Minh Hieu#25/10/1999#0909876543#0976543210
KH017#Vo Thi Bich#03/05/1996#0938765432#0865432198
KH018#Le Hoang Nam#13/01/2001#0921876543#0854321098
KH019#Nguyen Thanh Lam#21/09/1988#0912765432#0876543214
KH020#Phan Van Khanh#09/11/1991#0943217654#0865432176
